Date,EREITs return,MREITs return
1/31/2000,0.33,-1.86
2/29/2000,-1.19,-2.43
3/31/2000,3.29,4.88
4/30/2000,6.72,-0.73
5/31/2000,0.98,-1.36
6/30/2000,2.57,3.75
7/31/2000,8.74,1.06
8/31/2000,-4.06,1.99
9/30/2000,3.18,4.27
10/31/2000,-4.33,1.57
11/30/2000,1.28,-1.01
12/31/2000,7.04,5.18
1/31/2001,1.04,14.17
2/28/2001,-1.6,4.26
3/31/2001,0.97,3.35
4/30/2001,2.39,8.04
5/31/2001,2.42,8.41
6/30/2001,5.86,3.45
7/31/2001,-1.99,6.25
8/31/2001,3.66,-5.46
9/30/2001,-4.15,4.16
10/31/2001,-2.86,1.79
11/30/2001,5.5,0.87
12/31/2001,2.44,10.78
1/31/2002,0.2,1.98
2/28/2002,1.93,-2.06
3/31/2002,6,5.04
4/30/2002,0.85,10.32
5/31/2002,1.35,5.73
6/30/2002,2.73,5.85
7/31/2002,-5.23,-5.32
8/31/2002,-0.2,4.95
9/30/2002,-3.84,-7.59
10/31/2002,-4.81,-2.44
11/30/2002,4.71,3.7
12/31/2002,0.74,8.94
1/31/2003,-2.91,-1.08
2/28/2003,1.65,0.66
3/31/2003,2,3.28
4/30/2003,4.4,11.19
5/31/2003,6.04,6.36
6/30/2003,2.18,6.46
7/31/2003,5.35,4.63
8/31/2003,0.54,-1.67
9/30/2003,3.4,-0.39
10/31/2003,1.81,8.26
11/30/2003,4.36,7
12/31/2003,3.5,2.4
1/31/2004,4.33,4.95
2/29/2004,1.75,7.24
3/31/2004,5.53,7.35
4/30/2004,-14.58,-23.74
5/31/2004,7.13,6.12
6/30/2004,2.93,3.44
7/31/2004,0.33,-3.18
8/31/2004,7.94,8.14
9/30/2004,-0.06,2.73
10/31/2004,5.36,-3.87
11/30/2004,4.3,8.32
12/31/2004,4.85,4.54
1/31/2005,-8.4,-2.86
2/28/2005,3.07,-5.58
3/31/2005,-1.55,-4.87
4/30/2005,5.32,-0.73
5/31/2005,3.47,4.62
6/30/2005,5.03,2.15
7/31/2005,7.14,0.88
8/31/2005,-3.66,-10.62
9/30/2005,0.6,-7.7
10/31/2005,-2.37,-6.44
11/30/2005,4.21,6.85
12/31/2005,-0.2,-0.28
1/31/2006,7.3,4.23
2/28/2006,1.79,-3.81
3/31/2006,5.05,5.08
4/28/2006,-3.72,4.57
5/31/2006,-2.85,-1.82
6/30/2006,5.2,3.42
7/31/2006,3.37,-1.37
8/31/2006,3.78,-2.81
9/29/2006,1.85,4.25
10/31/2006,6.26,3.93
11/30/2006,4.65,1.11
12/29/2006,-1.56,1.6
1/31/2007,8.42,1.7
2/28/2007,-2.24,-11.43
3/30/2007,-2.39,-4.81
4/30/2007,-0.02,1.53
5/31/2007,0.05,1.05
6/29/2007,-9.07,-9.02
7/31/2007,-7.8,-22.11
8/31/2007,6.57,-12.38
9/28/2007,4.41,5.29
10/31/2007,1.12,-2.62
11/30/2007,-9.07,-2.31
12/31/2007,-5.03,5.39
1/31/2008,-1.03,8.08
2/29/2008,-3.56,-4.11
3/31/2008,6.23,-24.11
4/30/2008,5.86,9.37
5/30/2008,0.77,3.22
